id,name,host_id,host_name,neighborhood,latitude,longitude,room_type,price,number_of_reviews,calculated_host_listings_count,availability_365
3220798,modern basement loft,15983140,Trent,Arbor Lodge,45.57641930256833,-122.69857219443642,Entire home/apt,73,39,1,299
5513323,Cozy Room in Historic NoPo Home,28598877,Ian,Arbor Lodge,45.57469895288517,-122.68454434430276,Private room,50,83,1,90
213228,"Sweet 2 Room Suite, Private, Quiet",1099616,Abraham,Arbor Lodge,45.56781291717654,-122.67923359982588,Private room,49,75,2,357
758814,"Between ""hip and home"" (and park)!",3493601,Sandi,Arbor Lodge,45.57285650986187,-122.69398476899396,Private room,75,69,1,365
7292504,Saratoga Sweetness: cozy & quiet with private bath,36446072,Pamela,Arbor Lodge,45.57294447654001,-122.6882270376268,Private room,65,41,1,356
477845,The Garden Room in Arbor Lodge,1391205,Clarissa,Arbor Lodge,45.573183943259885,-122.68536170300631,Private room,55,89,2,263
2659449,Biscuits & Gravy!,13611696,John,Arbor Lodge,45.57510644568153,-122.6963932382716,Private room,54,31,3,365
9310996,Suite by University of Portland,1034192,Tyler,Arbor Lodge,45.57625550582561,-122.7074654076252,Private room,58,13,1,40
4840908,Portland-Plush KING/Private Bath,12807678,Tanja,Arbor Lodge,45.57234895754349,-122.68832750520123,Private room,49,272,3,158
15116428,2 Bedroom Bungalow with Private Backyard Access.,14897962,Jessica & Scott,Arbor Lodge,45.575984796868035,-122.7051927792338,Entire home/apt,65,13,2,46
15910855,Spacious studio convenient to Downtown PDX,20241996,Jeff,Arbor Lodge,45.57086221184392,-122.6932924060432,Entire home/apt,77,5,1,351
2016730,Basement Apt. in Arbor Lodge,1307081,Sarah,Arbor Lodge,45.5678246638434,-122.69417091383696,Entire home/apt,60,9,1,336
13547073,Cute Basement Studio,3488471,"Jess, Steve, And Clem",Arbor Lodge,45.57505443435403,-122.68675350633792,Entire home/apt,80,27,1,0
8985911,"Brand New, Perfect Portland Pad",328095,Lisa & Stew,Arbor Lodge,45.567662773406276,-122.68643865185093,Entire home/apt,115,76,1,174
14077766,Urban Wine Cellar Getaway,8121574,Shirley,Arbor Lodge,45.56635741624428,-122.69281608305357,Entire home/apt,95,14,1,88
9594842,Glorious Garden Retreat,1391205,Clarissa,Arbor Lodge,45.57185703465746,-122.6846046797939,Entire home/apt,108,24,2,151
