id,name,host_id,host_name,neighborhood,latitude,longitude,room_type,price,number_of_reviews,calculated_host_listings_count
269339,Sweet Apartment in Alberta St. Area,960864,Naomi,King,45.55035,-122.65664,Entire home/apt,90,354,2
272827,Moroccan-Inspired SW Portland Home,1427852,Rachel,Ashcreek,45.45264,-122.73628000000001,Private room,75,59,1
284106,Craftsman BrightFreshCentral 2 Bed/Bath Flat,1478274,David,Brooklyn Action Corps,45.49095,-122.64036999999999,Entire home/apt,199,91,1
293584,Venue/Event Space : UNION/PINE,1511460,Summer + Patrick,Buckman,45.52046,-122.66131999999999,Entire home/apt,1950,12,1
295694,Rustic Tiny Home w Sleeping Loft in hip Woodlawn,507756,Andrée,Woodlawn,45.57237,-122.65012,Entire home/apt,70,465,4
296946,Opal 28 an Intimate Event Space in NE PDX,6313800,Margot,Kerns,45.52795,-122.63691999999999,Entire home/apt,675,1,8
317797,Condo in the Courtyard,828435,Furnished In Portland,Mt. Tabor,45.512840000000004,-122.61133999999998,Entire home/apt,95,31,8
332420,Classic SE Portland: Walkable to Everything!,1206902,LeBrie,Sunnyside,45.5176,-122.63055,Entire home/apt,175,31,1
332585,Mt. Tabor Eco Friendly Flat,1488233,Dina,Mt. Tabor,45.51458,-122.60959,Entire home/apt,65,324,1
345650,GUEST HOUSE SURROUNDED BY NATURE,38860,Renata,Hayhurst,45.4802,-122.71843999999999,Entire home/apt,80,99,1
357732,"Cheerful, musical, eclectic home",1810476,Susan,Multnomah,45.46604,-122.71598999999999,Private room,40,25,2
362775,Japanese cabin + in fine-dining village,1213257,Dayna,Concordia,45.562740000000005,-122.63443999999998,Entire home/apt,105,183,2
379104,Private top floor near Alberta,491587,Jeanne,Concordia,45.565490000000004,-122.63925,Private room,65,25,2
383701,Sellwood Music Suite,1405118,Dave & Silke,Sellwood-Moreland Improvement League,45.46866,-122.65449,Entire home/apt,80,257,1
386687,The Heart of Multnomah Village,532509,Maria & Kenyon,Multnomah,45.47013,-122.71408999999998,Entire home/apt,120,205,1
399890,S.W. Portland Farmhouse Cottage,1996078,Sally K,Marshall Park,45.45704,-122.69185,Entire home/apt,165,80,3
402130,"Newly Renovated & Cozy, Opal 28 Queen Suite #1",6313800,Margot,Kerns,45.52968,-122.63429,Entire home/apt,155,136,8
402191,"Vintage Meets Modern, Opal 28 King Suite #4",6313800,Margot,Kerns,45.52502,-122.63497,Entire home/apt,115,188,8
408577,Eclectic cottage & bath house/SE Portland,2034859,Ruby,Richmond,45.50775,-122.61763,Entire home/apt,75,53,2
413956,"Beautiful, Clean 1920 NoPo Bungalow",1099616,Abraham,Arbor Lodge,45.566990000000004,-122.67936,Entire home/apt,125,203,2
448195,Quality Comfort Beautiful 1915 Craftsman,2226037,Bruce,Rose City Park,45.547670000000004,-122.61339,Entire home/apt,240,187,1
449461,"Portland Soul, Central! Porch Time!",975606,Leo,Rose City Park,45.543859999999995,-122.60396000000001,Private room,39,35,2
450488,Alberta Arts Room Overlooking Verdant Backyard,2236909,Shane,King,45.56024,-122.65851,Private room,35,97,5
450660,Perfectly Cozy Alberta Arts Room,2236909,Shane,King,45.56174,-122.65817,Private room,38,89,5
457627,concordia/alberta sunshine cabin,2274595,Rachel And Joe,Concordia,45.56244,-122.63756000000001,Entire home/apt,105,292,1
483487,Sellwood-Near Parks and the River,434208,Jim,Sellwood-Moreland Improvement League,45.467729999999996,-122.65513,Private room,22,263,1
483614,Cully Carriage House- NE Portland,1387456,Dana,Cully,45.5589,-122.61832,Entire home/apt,125,193,1
496270,Great Location! Great for Kids!,2451547,"Dave, And Caleb",Concordia,45.56497,-122.63118,Private room,89,51,1
522334,A sunny separate studio w/skylights,19234,Scott,Sellwood-Moreland Improvement League,45.474,-122.64379,Entire home/apt,85,364,1
525395,Fantastic Bungalow with Hot Tub close to Downtown,2555917,Thomas,South Portland,45.47161,-122.67426999999999,Entire home/apt,299,12,1
531553,"Farm in the City, Mississippi dist.",1601890,Janie And Ginnie,Boise,45.55327,-122.66941000000001,Entire home/apt,85,284,1
531586,Mt Tabor Long term ONLY,546232,Jan,Mt. Tabor,45.51807,-122.59494,Entire home/apt,299,0,1
539224,Skylight Delight,828435,Furnished In Portland,Mt. Tabor,45.51327,-122.61123,Private room,40,20,8
543988,Quaint English Cottage Garden Apt.,40759,Sue And Bob,Laurelhurst,45.52322,-122.61775,Entire home/apt,95,231,2
546107,"Hip, Tiny House in North Portland",307635,Andrew,Humboldt,45.558370000000004,-122.67023999999999,Entire home/apt,68,340,2
546694,Private suite - historic NE cottage,2688278,Rachel,Concordia,45.56857,-122.6295,Private room,39,197,1
548557,NE  Concordia Cabin,2696498,Matt,Concordia,45.56986,-122.63178,Entire home/apt,98,113,1
553671,Lovely Bugalow Close to Everything,2720698,Caroline,Piedmont,45.57847,-122.67087,Entire home/apt,120,19,1
557802,Lovely Studio in the Heart of NW/Pearl,2742604,Brad,Northwest District,45.52486,-122.69103,Entire home/apt,100,600,1
557948,"Pretty house, perfect location, EV-friendly",2690880,Randy,Hosford-Abernethy,45.50895,-122.64438,Entire home/apt,389,14,2
569209,Mt Tabor Retreat Full Bath Ensuite,2790349,Andrea,Mt. Tabor,45.51161,-122.60383,Private room,57,311,1
573264,"Large 2B Apt, central NW district",2820851,Northwest Portland,Northwest District,45.52582,-122.68903999999999,Entire home/apt,146,68,6
580155,NE Portland Modern Victorian Duplex,2854451,Julie,Eliot,45.53972,-122.66251000000001,Entire home/apt,130,18,1
581518,Mississippi Ave Apartment w/Bikes!,2862629,Cee,Boise,45.54803,-122.6722,Entire home/apt,125,269,1
584676,NW Portland Condo on Street Car Line,2881063,Kevin,Northwest District,45.52783,-122.69283999999999,Entire home/apt,122,63,1
596389,Garden Oasis Guest House,2948538,Colin And Medina,Sabin,45.55148,-122.65485,Entire home/apt,65,309,3
598726,"Vintage Charm, Bathed in Natural Sunlight, Hot Tub",2023418,Gary,King,45.56534,-122.66265,Entire home/apt,399,90,1
600976,2 Bedroom/Private Bath - Charming Central SW,2974150,Shannon,South Burlingame,45.465140000000005,-122.68619,Private room,76,248,2
604270,Mt. Tabor studio with Mt. Hood view,1493662,Jeff And Katie,Montavilla,45.515209999999996,-122.58367,Entire home/apt,89,567,1
611417,Victorian home walk to Lloyd & Convention Center,1011157,Jody,Irvington,45.53644,-122.65005,Private room,59,51,7
611454,"Walk to Pearl, Moda, Lloyd & Convention Center",1011157,Jody,Irvington,45.536609999999996,-122.65042,Private room,59,11,7
611458,"Walk to Pearl, Moda, Lloyd & Convention Center",1011157,Jody,Irvington,45.53597,-122.65096000000001,Entire home/apt,69,28,7
611464,"Walk to Pearl, Moda, Lloyd & Convention Centers",1011157,Jody,Irvington,45.53799,-122.65025,Private room,49,8,7
611469,"Walk to Pearl, Moda, Lloyd & Convention Center",1011157,Jody,Irvington,45.53645,-122.65045,Private room,49,33,7
633385,Sweet Room in Charming Central SW Home,2974150,Shannon,South Burlingame,45.47013,-122.68701000000001,Private room,55,209,2
